System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.52(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.39(Debug=False)

Meldungen
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Trockner Störerfassung.SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Trockner Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Trockner Allgemein.SI6 Positionierungsbausteinactual_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Variant" des Items "RFC_IDB Trockner Allgemein.SI6 Positionierungsbausteinsetpoint_values" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Trockner Allgemein.SI6 PositionierungsbausteinBetriebsstundenzähler" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Trockner Allgemein.Luftsystem ein VentilatorBetriebsstunden" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Tablett Kippantrieb Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Tablett Kippantrieb Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Tablett Kippantrieb Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Tablett Kippantrieb Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Einlauf Vereinzelung Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Einlauf Vereinzelung Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
